region,months_observed,total_est_detections_26yr,mean_monthly_detections,peak_month,peak_month_mean,total_frp_gw_26yr,mean_frp_mw,seasonality_index,active_months_pct
amazon,311,16895434,54326.2,9,221602.5,246.5,18.6,19.52,60.1
australia,311,30405281,97766.2,10,250542.0,534.0,33.7,13.24,71.7
bangladesh,311,725967,2334.3,3,12960.3,10.4,8.0,29.92,41.8
borneo,311,4002521,12869.8,9,49484.4,44.6,14.2,38.51,68.5
california,311,2332924,7501.4,9,34740.0,77.0,32.6,66.29,57.9
canada,311,9928609,31924.8,7,141719.3,207.2,35.6,45.09,34.4
congo,311,64107805,206134.4,1,486820.8,734.8,22.5,7.84,66.6
mediterranean,311,5083359,16345.2,8,35224.2,49.3,17.2,7.45,71.4
siberia,311,19568741,62922.0,8,280290.5,333.6,22.1,45.21,43.7
